
DisplayName                                                                                  DisplayVersion      Publisher      
Microsoft .NET Toolset 6.0.428 (x64)                                                         24.15.28115         Microsoft Co...
Microsoft .NET Toolset 7.0.410 (x64)                                                         28.10.35687         Microsoft Co...
Microsoft .NET Toolset 8.0.422 (x64)                                                         32.15.38875         Microsoft Co...
Microsoft .NET Toolset 9.0.315 (x64)                                                         36.11.55168         Microsoft Co...
Microsoft 365 - es-es                                                                        16.0.20026.20168    Microsoft Co...
Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)                                           3.1.10.20520        Microsoft Co...
Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)                                         3.1.32.22566        Microsoft Co...
Microsoft ASP.NET Core 3.1.32 Shared Framework (x86)                                         3.1.32.22566        Microsoft Co...
Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)                                            5.0.0.20526         Microsoft Co...
Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)                                         5.0.17.22215        Microsoft Co...
Microsoft ASP.NET Core 5.0.17 Shared Framework (x86)                                         5.0.17.22215        Microsoft Co...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x64)                                         6.0.36.24516        Microsoft Co...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x86)                                         6.0.36.24516        Microsoft Co...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)                                           6.0.36.24516        Microsoft Co...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x86)                                           6.0.36.24516        Microsoft Co...
Microsoft ASP.NET Core 7.0.20 Shared Framework (x64)                                         7.0.20.24269        Microsoft Co...
Microsoft ASP.NET Core 7.0.20 Targeting Pack (x64)                                           7.0.20.24269        Microsoft Co...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x64)                                         8.0.28.26269        Microsoft Co...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x86)                                         8.0.28.26269        Microsoft Co...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x64)                                           8.0.28.26269        Microsoft Co...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x86)                                           8.0.28.26269        Microsoft Co...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x64)                                         9.0.17.26269        Microsoft Co...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x86)                                         9.0.17.26269        Microsoft Co...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x64)                                           9.0.17.26269        Microsoft Co...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x86)                                           9.0.17.26269        Microsoft Co...
